"Country","GINIcoeff","EduExp","NoEmploy","DemoIndex"
"Afghanistan",29.4,10.25386047,11.71000004,"2.85"
"Albania",33.2,12.06999969,13.32900047,"6.08"
"Algeria",27.6,16.54919052,12.55000019,"3.77"
"Angola",51.3,6.467226505,8.333000183,"3.66"
"Argentina",41.4,NA,11.46000004,"6.95"
"Armenia",34.4,8.82777977,21.20599937,"5.35"
"Australia",34.4,NA,6.460000038,"8.96"
"Austria",29.7,NA,5.360000134,"8.16"
"Azerbaijan",33.7,10.5025301,6.462999821,"2.68"
"Bangladesh",32.4,11.8447504,5.413000107,"5.99"
"Belarus",25.2,12.78114986,4.768000126,"2.59"
"Belgium",27.4,NA,5.550000191,"7.51"
"Benin",47.8,NA,1.583999991,"4.58"
"Bhutan",37.4,15.78534031,3.648999929,"5.71"
"Bolivia",42.2,14.19999981,7.900000095,"5.08"
"Bosnia and Herzegovina",33,NA,15.26500034,"4.84"
"Botswana",53.3,NA,24.93000031,"7.62"
"Brazil",53.9,NA,13.68999958,"6.92"
"Bulgaria",40.4,NA,5.119999886,"6.71"
"Burkina Faso",35.3,NA,4.894999981,"3.73"
"Burma",30.7,NA,NA,NA
"Burundi",38.6,20.7419529,1.707000017,"2.14"
"Cabo Verde",42.4,17.09018707,15.30599976,NA
"Cambodia",37.9,NA,0.331,"3.10"
"Cameroon",46.5,14.38990593,3.836999893,"2.77"
"Canada",33.3,NA,9.460000038,"9.24"
"Central African Republic",43.6,9.782443047,6.356999874,"1.32"
"Chad",43.3,11.67150974,1.741999984,"1.55"
"Chile",44.4,NA,11.18000031,NA
"China",38.5,10.52999973,5,"2.27"
"Colombia",50.4,14.74662971,15.03999996,"7.04"
"Comoros",45.3,NA,9.222999573,"3.09"
"Costa Rica",48,21.53948021,17.40999985,"8.16"
"Cote d'Ivoire",41.5,15.08218002,3.487999916,NA
"Croatia",30.4,NA,7.510000229,"6.50"
"Cyprus",31.4,NA,7.590000153,"7.56"
"Czechia",24.9,NA,NA,NA
"Democratic Republic of the Congo",42.1,NA,5.265999794,"1.13"
"Denmark",28.7,NA,5.639999866,"9.15"
"Djibouti",41.6,NA,28.38999939,"2.71"
"Dominican Republic",43.7,19.32287979,6.130000114,"6.32"
"Ecuador",45.4,11.51441956,6.110000134,"6.13"
"Egypt",31.5,NA,4.315501688,"2.93"
"El Salvador",38.6,13.09288979,6.248000145,"5.90"
"Estonia",30.4,NA,6.800000191,"7.84"
"Eswatini",54.6,15.89000034,25.50900078,"3.08"
"Ethiopia",35,NA,3.236999989,"3.38"
"Falkland Islands (Islas Malvinas)",36,NA,NA,NA
"Faroe Islands",22.7,NA,NA,NA
"Federated States of Micronesia",40.1,NA,NA,NA
"Fiji",36.7,16.39175034,4.715000153,"5.72"
"Finland",27.4,NA,7.760000229,"9.20"
"France",31.6,NA,8.010000229,"7.99"
"Gabon",38,15.02551937,21.97200012,"3.54"
"Gaza Strip",33.7,NA,NA,NA
"Georgia",36.4,11.17018986,18.5,"5.31"
"Germany",31.9,NA,3.809999943,"8.67"
"Ghana",43.5,NA,4.651000023,"6.50"
"Greece",34.4,NA,16.29999924,"7.39"
"Greenland",33.9,NA,NA,NA
"Guatemala",48.3,21.1411705,3.552999973,"4.97"
"Guinea",33.7,14.29006004,6.103000164,"3.08"
"Guinea-Bissau",50.7,NA,6.736999989,"2.63"
"Guyana",44.6,NA,16.43099976,"6.01"
"Haiti",41.1,NA,15.45100021,"4.22"
"Honduras",52.1,24.25477028,8.373000145,"5.36"
"Hong Kong",53.9,20.62105942,5.829999924,"5.57"
"Hungary",30.6,NA,4.25,"6.56"
"Iceland",26.8,NA,5.480000019,"9.37"
"India",35.7,16.54015923,7.997000217,"6.61"
"Indonesia",37.8,19.15280151,4.28000021,"6.30"
"Iran",40.8,23.13994026,12.16899967,"2.20"
"Iraq",29.5,NA,14.0880003,"3.62"
"Ireland",32.8,NA,5.619999886,"9.05"
"Israel",37,NA,4.329999924,"7.84"
"Italy",35.9,NA,9.159999847,"7.74"
"Jamaica",35,NA,9.479999542,"7.13"
"Japan",32.9,NA,2.799999952,"8.13"
"Jersey",0.3,NA,NA,NA
"Jordan",33.7,NA,19.02599907,"3.62"
"Kazakhstan",27.5,NA,4.889999866,"3.14"
"Kenya",40.8,NA,5.729000092,"5.05"
"Kosovo",29,NA,NA,NA
"Kyrgyzstan",27.7,NA,NA,"4.21"
"Laos",36.4,NA,1.034000039,"1.77"
"Latvia",35.6,NA,8.100000381,"7.24"
"Lebanon",31.8,9.89828968,13.29699993,"4.16"
"Lesotho",44.9,13.79121971,24.56299973,"6.30"
"Liberia",35.3,NA,3.980000019,"5.32"
"Lithuania",37.3,NA,8.489999771,"7.13"
"Luxembourg",34.9,NA,6.769999981,"8.68"
"Macau",35,NA,NA,NA
"Madagascar",42.6,15.33696365,2.473999977,"5.70"
"Malawi",44.7,11.49765015,6.701000214,"5.74"
"Malaysia",41,15.44262028,4.504000187,"7.19"
"Maldives",31.3,10.50504017,6.328000069,NA
"Mali",40.1,14.46612072,7.696000099,"3.93"
"Malta",29.2,NA,4.260000229,"7.68"
"Mauritania",32.6,9.727089882,11.27000046,"3.92"
"Mauritius",36.8,16.11787987,7.407000065,"8.14"
"Mexico",36.8,NA,4.449999809,"6.07"
"Moldova",25.7,17.9937706,3.819999933,"5.78"
"Mongolia",32.7,16.42383003,7.010000229,"6.48"
"Montenegro",39,NA,17.89999962,"5.77"
"Morocco",39.5,14.81815052,11.45400047,"5.04"
"Mozambique",54,17.9349308,3.809999943,"3.51"
"Namibia",59.1,24.94137955,21.44599915,"6.52"
"Nepal",32.8,13.18999958,4.723999977,"5.22"
"Netherlands",28.5,NA,3.819999933,"8.96"
"New Zealand",36.2,NA,4.590000153,"9.25"
"Nicaragua",46.2,22.81999969,6.078000069,"3.60"
"Niger",34.3,13.33253956,0.624000013,"3.29"
