Country Name;Country Code;Eduexp
Aruba;ABW;21.85375023
Africa Eastern and Southern;AFE;14.56409168
Afghanistan;AFG;10.88010979
Africa Western and Central;AFW;15.05085325
Angola;AGO;6.919610023
Albania;ALB;12.06999969
Andorra;AND;10.26000023
Arab World;ARB;11.91267014
United Arab Emirates;ARE;11.70623016
Argentina;ARG;12.5300703
Armenia;ARM;8.278089523
American Samoa;ASM;
Antigua and Barbuda;ATG;9.903226852
Australia;AUS;13.47729015
Austria;AUT;10.71942043
Azerbaijan;AZE;11.4832201
Burundi;BDI;20.43853951
Belgium;BEL;12.21549988
Benin;BEN;17.70918083
Burkina Faso;BFA;22.66116905
Bangladesh;BGD;11.69087029
Bulgaria;BGR;12.73095036
Bahrain;BHR;10.78999996
The Bahamas;BHS;11.2430172
Bosnia and Herzegovina;BIH;
Belarus;BLR;16.53804016
Belize;BLZ;22.17474747
Bermuda;BMU;7.773469925
Bolivia;BOL;14.19999981
Brazil;BRA;16.1483593
Barbados;BRB;16.58019638
Brunei Darussalam;BRN;11.44194984
Bhutan;BTN;16.24025917
Botswana;BWA;15.35271645
Central African Republic;CAF;9.088691711
Canada;CAN;12.21914005
Central Europe and the Baltics;CEB;10.81090975
Switzerland;CHE;15.53279972
Channel Islands;CHI;
Chile;CHL;21.36606979
China;CHN;10.52999973
Cote d'Ivoire;CIV;14.97817993
Cameroon;CMR;14.89108181
Congo Dem. Rep.;COD;14.00765991
Congo Rep.;COG;18.28824615
Colombia;COL;14.74662971
Comoros;COM;13.35365009
Cabo Verde;CPV;15.1129818
Costa Rica;CRI;21.53948021
Caribbean small states;CSS;8.929389954
Cuba;CUB;
Curacao;CUW;
Cayman Islands;CYM;
Cyprus;CYP;15.67893028
Czech Republic;CZE;10.50891972
Germany;DEU;11.22558022
Djibouti;DJI;13.99153042
Dominica;DMA;8.293609619
Denmark;DNK;13.4382
Dominican Republic;DOM;18.01491928
Algeria;DZA;16.2131691
East Asia & Pacific (excluding high income);EAP;14.4071703
Early-demographic dividend;EAR;16.23362446
East Asia & Pacific;EAS;16.53417969
Europe & Central Asia (excluding high income);ECA;12.93375874
Europe & Central Asia;ECS;11.74643993
Ecuador;ECU;11.51441956
Egypt Arab Rep.;EGY;12.26000023
Euro area;EMU;11.1865449
Eritrea;ERI;
Spain;ESP;10.0303297
Estonia;EST;13.35336971
Ethiopia;ETH;24.00155067
European Union;EUU;11.11289978
Fragile and conflict affected situations;FCS;14.64414024
Finland;FIN;11.74643993
Fiji;FJI;14.46442032
France;FRA;9.717340469
Faroe Islands;FRO;15.41215134
Micronesia Fed. Sts.;FSM;18.10730934
Gabon;GAB;15.12352657
United Kingdom;GBR;13.34407997
Georgia;GEO;11.17018986
Ghana;GHA;18.59816933
Gibraltar;GIB;
Guinea;GIN;11.9788866
The Gambia;GMB;11.35991955
Guinea-Bissau;GNB;15
Equatorial Guinea;GNQ;
Greece;GRC;
Grenada;GRD;7.417409897
Greenland;GRL;17.43354416
Guatemala;GTM;21.1411705
Guam;GUM;
Guyana;GUY;16.0032196
High income;HIC;11.75430965
Hong Kong SAR China;HKG;20.62105942
Honduras;HND;24.59828949
Heavily indebted poor countries (HIPC);HPC;14.29006004
Croatia;HRV;8.600079536
Haiti;HTI;14.64414024
Hungary;HUN;10.08428955
IBRD only;IBD;14.74662971
IDA & IBRD total;IBT;14.38990593
IDA total;IDA;14.04063988
IDA blend;IDB;14.09466934
Indonesia;IDN;19.15280151
IDA only;IDX;13.56187963
Isle of Man;IMN;
India;IND;16.54015923
Not classified;INX;
Ireland;IRL;13.32429028
Iran Islamic Rep.;IRN;23.13994026
Iraq;IRQ;14
Iceland;ISL;17.24921989
Israel;ISR;15.52122021
Italy;ITA;8.795740128
Jamaica;JAM;17.31398964
Jordan;JOR;9.859749794
Japan;JPN;
Kazakhstan;KAZ;14.10953045
Kenya;KEN;19.03519058
Kyrgyz Republic;KGZ;16.47274971
Cambodia;KHM;11.82999992
Kiribati;KIR;19.27183914
St. Kitts and Nevis;KNA;11.11999989
Korea Rep.;KOR;14.81999969
Kuwait;KWT;11.91267014
Latin America & Caribbean (excluding high income);LAC;15.92708969
Lao PDR;LAO;14
Lebanon;LBN;9.89828968
Liberia;LBR;8.147789955
Libya;LBY;
St. Lucia;LCA;14.46759033
Latin America & Caribbean;LCN;15.92708969
Least developed countries: UN classification;LDC;12.37802029
Low income;LIC;12.37802029
Liechtenstein;LIE;
Sri Lanka;LKA;9.899999619
Lower middle income;LMC;14.61266041
Low & middle income;LMY;14.39853811
