name,value
Syria,5.91
South Sudan,4.91
Niger,3.66
Burundi,3.63
Equatorial Guinea,3.50
Angola,3.36
Benin,3.34
Uganda,3.27
"Congo, Democratic Republic of the",3.14
Chad,03.09
Mali,2.95
Zambia,2.90
Tanzania,2.78
Guinea,2.76
Cameroon,2.75
Liberia,2.73
Senegal,2.57
Mozambique,2.56
Sudan,2.55
Burkina Faso,2.53
Guinea-Bissau,2.53
Nigeria,2.53
Sierra Leone,2.49
Togo,2.48
Ethiopia,2.46
Venezuela,2.43
Somalia,2.42
Gabon,2.40
Papua New Guinea,2.35
"Congo, Republic of the",2.34
Malawi,2.34
Afghanistan,2.30
"Gambia, The",2.29
Madagascar,2.27
Ghana,2.23
Cote d'Ivoire,2.19
Timor-Leste,2.15
Kenya,2.12
Gaza Strip,02.02
Iraq,2.00
Mauritania,1.99
Djibouti,1.97
Pakistan,1.95
Zimbabwe,1.95
British Virgin Islands,1.91
Yemen,1.88
Turks and Caicos Islands,1.86
Oman,1.84
Cayman Islands,1.83
Namibia,1.82
Anguilla,1.80
Central African Republic,1.78
Rwanda,1.74
Solomon Islands,1.72
West Bank,1.69
Egypt,1.68
Libya,1.65
Belize,1.64
Luxembourg,1.64
Saudi Arabia,1.63
Vanuatu,1.63
Philippines,1.60
Guatemala,1.58
Panama,1.53
Sao Tome and Principe,1.48
Brunei,1.45
Israel,1.44
Botswana,1.40
Tajikistan,1.40
Comoros,1.37
Algeria,1.34
Laos,1.34
Marshall Islands,1.34
Australia,1.25
Sint Maarten,1.23
Cabo Verde,1.21
Haiti,1.20
Honduras,1.19
New Caledonia,1.19
Kuwait,1.17
New Zealand,1.17
Antigua and Barbuda,1.15
Aruba,1.14
Paraguay,1.14
Ecuador,1.13
Suriname,1.13
Bolivia,1.12
Christmas Island,1.11
Cambodia,01.08
Cyprus,01.06
Kiribati,01.04
Qatar,01.04
Eritrea,01.03
Malaysia,01.03
Costa Rica,01.01
Turkmenistan,0.99
Iran,0.98
Bhutan,0.97
Vietnam,0.97
Ireland,0.94
Bangladesh,0.93
Iceland,0.93
South Africa,0.93
Nicaragua,0.92
Singapore,0.92
Dominican Republic,0.91
Morocco,0.91
Bahrain,0.88
Mongolia,0.88
Kyrgyzstan,0.86
Tuvalu,0.83
Uzbekistan,0.83
Argentina,0.82
"Bahamas, The",0.82
Jordan,0.81
Norway,0.80
Indonesia,0.79
Burma,0.78
Nepal,0.78
Kazakhstan,0.77
Lesotho,0.76
Canada,0.75
Eswatini,0.75
Macau,0.75
Paracel Islands,0.75
French Polynesia,0.73
Liechtenstein,0.72
Brazil,0.70
Tunisia,0.69
United States,0.69
Azerbaijan,0.67
India,0.67
Malta,0.67
Turkey (Turkiye),0.67
Chile,0.66
Lebanon,0.66
Switzerland,0.65
Jersey,0.64
Seychelles,0.64
Faroe Islands,0.63
Samoa,0.63
Saint Kitts and Nevis,0.61
San Marino,0.61
Sri Lanka,0.61
Monaco,0.60
Colombia,0.59
United Arab Emirates,0.58
Belgium,0.57
El Salvador,0.57
Kosovo,0.57
United Kingdom,0.53
Isle of Man,0.52
Mexico,0.51
Peru,0.51
Montserrat,0.50
Sweden,0.50
"Korea, North",0.46
Denmark,0.44
Fiji,0.44
Nauru,0.42
Palau,0.39
Netherlands,0.36
Bermuda,0.34
Saint Martin,0.33
Ashmore and Cartier Islands,0.32
Austria,0.32
Curacao,0.32
France,0.32
Grenada,0.32
Saint Lucia,0.29
Uruguay,0.27
Barbados,0.26
Wallis and Futuna,0.25
Finland,0.24
Guyana,0.24
"Korea, South",0.24
Guernsey,0.23
Thailand,0.23
Albania,0.22
China,0.19
Gibraltar,0.19
Hong Kong,0.17
Guam,0.16
Trinidad and Tobago,0.14
"Saint Helena, Ascension, and Tristan da Cunha",0.13
Spain,0.13
North Macedonia,0.12
Mauritius,0.10
Jamaica,0.08
Dominica,0.05
Taiwan,0.04
Georgia,0.03
Czechia,0.02
Falkland Islands (Islas Malvinas),0.01
Norfolk Island,0.01
Holy See (Vatican City),0.00
Pitcairn Islands,0.00
Tokelau,-0.01
Greenland,-0.02
Niue,-0.03
Svalbard,-0.03
Slovenia,-0.06
Andorra,-0.10
Slovakia,-0.10
Germany,-0.11
Italy,-0.13
Maldives,-0.14
Saint Barthelemy,-0.16
Saint Vincent and the Grenadines,-0.17
Portugal,-0.20
Cuba,-0.21
Bosnia and Herzegovina,-0.22
Russia,-0.22
Poland,-0.26
Tonga,-0.26
Hungary,-0.30
Belarus,-0.31
Greece,-0.34
Northern Mariana Islands,-0.35
Armenia,-0.38
Japan,-0.39
Montenegro,-0.41
Virgin Islands,-0.45
Croatia,-0.47
Ukraine,-0.50
Bulgaria,-0.67
"Micronesia, Federated States of",-0.67
Estonia,-0.71
Serbia,-0.75
Lithuania,-1.04
Romania,-1.09
Latvia,-1.11
Moldova,-1.12
Saint Pierre and Miquelon,-1.20
Puerto Rico,-1.38
American Samoa,-1.92
Cook Islands,-2.39
