country;pop_urb;export;school_enr
Afghanistan;26.314;0;55.42520905
Albania;62.969;22.70398154;95.43232727
Algeria;74.261;18.00117495;0
American Samoa;87.169;60.08462623;0
Andorra;87.858;0;0
Angola;67.46;37.91127298;0
Anguilla;;;
Antigua and Barbuda;24.38;43.70441866;111.1960373
Argentina;92.229;16.59181663;107.6472778
Armenia;63.431;29.76367804;83.15068054
Aruba;43.866;56.54508839;0
Australia;86.362;23.98385353;132.7728882
Austria;58.995;51.4350079;99.95783997
Azerbaijan;56.776;35.62355587;94.48007965
Bahamas;83.365;25.28790144;0
Bahrain;89.622;72.71532474;98.59906769
Bangladesh;38.946;10.44278773;72.69059753
Barbados;31.246;29.62840954;103.7039032
Belarus;79.91;61.01214926;102.4395294
Belgium;98.117;80.04203783;155.9610748
Belize;46.201;43.55992712;85.37245941
Benin;48.972;19.87247043;0
Bermuda;100;49.58621914;0
Bhutan;43.008;29.78885292;90.09468079
Bolivia;70.475;20.27258979;89.72425079
Bosnia and Herzegovina;49.425;34.52456329;0
Botswana;71.56;31.35372093;0
Brazil;87.317;16.79506843;105.0091095
British Virgin Islands;48.92;0;0
Brunei;78.554;57.35611139;#N/D
Bulgaria;76.025;55.3232894;96.82090759
Burkina Faso;31.24;0;40.70972824
Myanmar;31.448;28.65204712;68.43682098
Burundi;14.058;4.549322696;48.46501923
Cabo Verde;67.102;24.85098202;88.15511322
Cambodia;24.668;61.04181636;0
Cameroon;58.148;15.03506913;0
Canada;81.653;29.36344802;114.1235123
Cayman Islands;100;60.12874668;77.03900909
Central African Republic;42.648;15.17248;0
Chad;23.781;26.71614905;20.21027946
Chile;87.817;31.53353445;102.3675537
China;62.512;18.54106001;0
Colombia;81.74;13.49088182;97.50623322
Comoros;29.613;5.627251498;59.46886063
Congo Democratic Republic of the;46.235;28.60458745;0
Congo Republic of the;68.283;0;0
Cook Islands;;;#N/D
Costa Rica;81.425;31.53539441;132.816925
Cote d'Ivoire;52.18;21.55155517;51.02666092
Croatia;57.878;42.02489362;100.0797729
Cuba;77.292;8.168455175;101.1372375
Curacao;89.038;0;0
Cyprus;66.856;75.78051183;100.2535172
