country;pop_urb;export;school_enr
Afghanistan;26.314;0;55.42520905
Albania;62.969;22.70398154;95.43232727
Algeria;74.261;18.00117495;0
Angola;87.169;60.08462623;0
Argentina;87.858;0;0
Armenia;67.46;37.91127298;0
Australia;0;0;0
Austria;24.38;43.70441866;111.1960373
Azerbaijan;92.229;16.59181663;107.6472778
Bangladesh;63.431;29.76367804;83.15068054
Belarus;43.866;56.54508839;0
Belgium;86.362;23.98385353;132.7728882
Benin;58.995;51.4350079;99.95783997
Bhutan;56.776;35.62355587;94.48007965
Bolivia;83.365;25.28790144;0
Bosnia and Herzegovina;89.622;72.71532474;98.59906769
Botswana;38.946;10.44278773;72.69059753
Brazil;31.246;29.62840954;103.7039032
Bulgaria;79.91;61.01214926;102.4395294
Burkina Faso;98.117;80.04203783;155.9610748
Burma;46.201;43.55992712;85.37245941
Burundi;48.972;19.87247043;0
Cabo Verde;100;49.58621914;0
Cambodia;43.008;29.78885292;90.09468079
Cameroon;70.475;20.27258979;89.72425079
Canada;49.425;34.52456329;0
Central African Republic;71.56;31.35372093;0
Chad;87.317;16.79506843;105.0091095
Chile;48.92;0;0
China;78.554;57.35611139;#N/D
Colombia;76.025;55.3232894;96.82090759
Comoros;31.24;0;40.70972824
Costa Rica;31.448;28.65204712;68.43682098
Cote d'Ivoire;14.058;4.549322696;48.46501923
Croatia;67.102;24.85098202;88.15511322
Cyprus;24.668;61.04181636;0
Czechia;58.148;15.03506913;0
Democratic Republic of the Congo;81.653;29.36344802;114.1235123
Denmark;100;60.12874668;77.03900909
Djibouti;42.648;15.17248;0
Dominican Republic;23.781;26.71614905;20.21027946
Ecuador;87.817;31.53353445;102.3675537
Egypt;62.512;18.54106001;0
El Salvador;81.74;13.49088182;97.50623322
Estonia;29.613;5.627251498;59.46886063
Eswatini;0;0;#N/D
Ethiopia;81.425;31.53539441;132.816925
Falkland Islands (Islas Malvinas);52.18;21.55155517;51.02666092
Faroe Islands;57.878;42.02489362;100.0797729
Federated States of Micronesia;77.292;8.168455175;101.1372375
Fiji;89.038;0;0
Finland;66.856;75.78051183;100.2535172
France;74.214;70.99199615;#N/D
