"country","gini","urb_pop","exports","school_enr","DemoIndex","EducationExpenditure","Unemployment","teen_preg","death_rate","labor_force"
"Afghanistan",29.4,26.314,1.12452208638717,103.534523010254,2.85,10.25386047,11.71000004,57.509,6.157,50.49
"Albania",33.2,62.969,8.80533257546907,105.542976379395,6.08,12.06999969,13.32900047,19.4332,8.263,69.61
"Algeria",27.6,74.261,0.251775038423141,115.877838134766,3.77,16.54919052,12.55000019,9.3594,4.718,46.37
"Angola",51.3,67.46,3.5430584083964,113.477958679199,3.66,6.467226505,8.333000183,142.822,7.798,77.93
"Argentina",41.4,92.229,3.21486753032155,111.303413391113,6.95,12.5300703,11.46000004,62.1322,7.602,69.37
"Armenia",34.4,63.431,34.6664941240264,95.0036468505859,5.35,8.82777977,21.20599937,19.678,9.801,61.55
"Australia",34.4,86.362,31.5276869213515,101.599906921387,8.96,13.47729015,6.460000038,10.5474,6.3,78.51
"Austria",29.7,58.995,3.14265791076177,101.997482299805,8.16,10.71942043,5.360000134,6.4532,10.3,76.86
"Azerbaijan",33.7,56.776,1.0959919101039,106.601486206055,2.68,10.5025301,6.462999821,57.8168,7.5,72.04
"Belarus",25.2,79.91,1.23443353839957,99.1497802734375,2.59,12.78114986,4.768000126,12.2408,13,78.06
"Belgium",27.4,98.117,2.41418719107926,103.155807495117,7.51,12.21549988,5.550000191,4.4092,11,69.06
"Benin",47.8,48.972,2.334836574266,132.466842651367,4.58,17.70918083,1.583999991,79.9172,8.567,71.66
"Bolivia",42.2,70.475,32.6279589961985,95.9084396362305,5.08,14.19999981,7.900000095,61.9126,6.762,74.21
"Botswana",53.3,71.56,4.03406783470444,103.238388061523,7.62,15.35271645,24.93000031,43.952,5.718,73.05
"Brazil",53.9,87.317,11.7957523334983,113.369972229004,6.92,16.1483593,13.68999958,55.4354,6.614,70.93
"Bulgaria",40.4,76.025,11.488830046822,94.1982727050781,6.71,12.73095036,5.119999886,38.2598,18,73.37
"Burkina Faso",35.3,31.24,3.70052450116218,88.3661575317383,3.73,22.66116905,4.894999981,97.5394,7.71,67.79
"Burundi",38.6,14.058,3.86878972252472,130.903427124023,2.14,20.7419529,1.707000017,53.0748,7.611,80
"Cambodia",37.9,24.668,0.127397850611072,117.078483581543,3.1,11.82999992,0.331,51.8072,5.999,84.9
"Cameroon",46.5,58.148,7.2820530562766,116.210441589355,2.77,14.38990593,3.836999893,98.8814,8.879,76.9
"Chile",44.4,87.817,50.4439301430811,100.684837341309,8.28,21.36606979,11.18000031,38.3112,6.348,68.9
"China",38.5,62.512,1.12761789812447,96.318603515625,2.27,10.52999973,5,7.659,7.07,75.88
"Colombia",50.4,81.74,1.16347146041294,115.231887817383,7.04,14.74662971,15.03999996,63.144,5.706,72.86
"Costa Rica",48,81.425,1.09214883019012,111.297950744629,8.16,21.53948021,17.40999985,50.6358,5.227,71.15
"Croatia",30.4,57.878,2.80371526734313,100.579231262207,6.5,8.600079536,7.510000229,7.4336,14.1,66.99
"Cyprus",31.4,66.856,5.29340168201259,99.3001174926758,7.56,15.67893028,7.590000153,4.2118,7.182,74.84
"Denmark",28.7,88.24,1.30427258459606,101.456443786621,9.15,13.4382,5.639999866,4.261,9.4,79.01
"Dominican Republic",43.7,83.213,1.34702483700504,111.40535736084,6.32,19.32287979,6.130000114,90.5826,6.233,71.05
"Ecuador",45.4,64.361,1.07250605981619,107.683837890625,6.13,11.51441956,6.110000134,77.7658,5.139,70.96
"Estonia",30.4,69.415,1.66618656806521,97.1464080810547,7.84,13.35336971,6.800000191,5.9004,11.9,78.9
"Eswatini",54.6,24.369,0.137876958421922,119.215377807617,3.08,15.89000034,25.50900078,72.6762,8.877,54.71
"Ethiopia",35,22.174,0.489305949785615,100.971488952637,3.38,24.00155067,3.236999989,61.7704,6.289,81.34
"Fiji",36.7,57.74,1.4716217264015,106.716461181641,5.72,16.39175034,4.715000153,48.7158,8.327,60.29
"Finland",27.4,85.596,4.88490053282647,100.560791015625,9.2,11.74643993,7.760000229,5.3504,10,78.15
"France",31.6,81.242,1.93198020258662,101.989639282227,7.99,9.717340469,8.010000229,4.7546,9.9,71.82
"Georgia",36.4,59.872,23.1711292890549,102.753471374512,5.31,11.17018986,18.5,42.7384,12.746,69.4
"Germany",31.9,77.544,2.31084898157863,101.667449951172,8.67,11.22558022,3.809999943,7.3804,11.9,79.08
"Ghana",43.5,57.985,1.90382388267575,108.337890625,6.5,18.59816933,4.651000023,64.1306,7.145,69.21
"Greece",34.4,80.038,8.61869070411616,99.5262985229492,7.39,7.417409897,16.29999924,6.3668,12.2,68.7
"Guatemala",48.3,52.245,6.51105731928332,101.512687683105,4.97,21.1411705,3.552999973,67.408,4.706,64.71
"Hungary",30.6,72.245,1.20120060028288,102.325119018555,6.56,10.08428955,4.25,24.8688,14.5,72.57
"Iceland",26.8,93.944,36.3625305906611,98.6254272460938,9.37,17.24921989,5.480000019,5.1818,6.3,86.67
"India",35.7,35.393,3.15923171416737,108.485229492188,6.61,16.54015923,7.997000217,9.8584,7.301,52.13
"Indonesia",37.8,57.29,5.74987617185474,105.960243225098,6.3,19.15280151,4.28000021,45.9676,6.567,70.2
"Ireland",32.8,63.912,0.828575214663119,101.184638977051,9.05,13.32429028,5.619999886,6.1398,6.4,73.51
"Israel",37,92.674,0.963441072958899,105.623962402344,7.84,15.52122021,4.329999924,8.362,5.3,72.18
"Italy",35.9,71.346,1.90982215322686,100.386749267578,7.74,8.795740128,9.159999847,4.85,12.6,65.82
"Kazakhstan",27.5,57.821,15.5906292955463,111.640083312988,3.14,14.10953045,4.889999866,28.592,8.6,76.59
"Kenya",40.8,28.493,4.26489839463264,103.661567687988,5.05,19.03519058,5.729000092,71.976,5.345,74.56
"Latvia",35.6,68.421,1.73240354340902,99.3933181762695,7.24,11.14750957,8.100000381,15.0622,15.2,77.74
"Lesotho",44.9,29.48,0.30475526240268,116.634521484375,6.3,13.79121971,24.56299973,92.282,13.689,69.87
"Lithuania",37.3,68.249,1.26489658252207,102.089256286621,7.13,11.74273014,8.489999771,8.8998,15.6,78.24
"Luxembourg",34.9,91.672,4.25377629362931,98.9722518920898,8.68,8.658579826,6.769999981,4.3574,7.3,71.66
"Madagascar",42.6,39.207,25.5697528860728,147.314193725586,5.7,15.33696365,2.473999977,104.0322,5.819,87.15
"Malawi",44.7,17.695,0.967680113791385,146.396820068359,5.74,11.49765015,6.701000214,130.9424,6.26,77.31
"Malaysia",41,77.696,3.8542428518838,103.818672180176,7.19,15.44262028,4.504000187,13.5724,5.254,68.64
"Mali",40.1,44.677,0.13851630766098,75.6831817626953,3.93,14.46612072,7.696000099,162.3464,9.163,71.33
"Malta",29.2,94.81,0.243055106955339,103.549201965332,7.68,13.36942005,4.260000229,11.7318,7.9,74.39
"Mauritania",32.6,56.133,42.4373225770653,104.511032104492,3.92,9.727089882,11.27000046,66.786,7.026,46.54
"Mauritius",36.8,40.775,0.324032041173332,102.920539855957,8.14,16.11787987,7.407000065,24.3658,8.7,66.17
"Mexico",36.8,81.016,2.16352470294929,106.606109619141,6.07,16.57785034,4.449999809,57.6326,6.15,65.25
"Moldova",25.7,42.998,1.26326084164787,105.689743041992,5.78,17.9937706,3.819999933,21.7106,11.776,47.17
"Mongolia",32.7,68.785,45.8214514736479,100.362373352051,6.48,16.42383003,7.010000229,32.3292,6.354,66.34
"Morocco",39.5,64.065,6.41215376931413,109.523971557617,5.04,14.81815052,11.45400047,29.975,5.064,48.73
"Mozambique",54,37.628,32.537015600755,108.62914276123,3.51,17.9349308,3.809999943,141.5004,7.951,78.33
"Netherlands",28.5,92.572,2.27817186258673,102.697601318359,8.96,12.91154957,3.819999933,3.5324,9.7,80.94
"New Zealand",36.2,86.789,3.14488195666464,97.9427795410156,9.25,16.08296013,4.590000153,17.2738,6.41,80.89
"Niger",34.3,16.751,32.2634787900439,71.5959091186523,3.29,13.33253956,0.624000013,177.4642,7.817,73.39
"Norway",27,83.323,6.23890729160383,99.9049301147461,9.81,15.91753006,4.420000076,5.0324,7.5,78.17
"Pakistan",33.5,37.44,1.49009381168309,85.0899200439453,4.31,11.59167957,4.302999973,37.0278,6.844,54.5
"Panama",49.2,68.775,0.7760631405189,96.0771331787109,7.18,10.24318027,12.85400009,79.4598,5.143,72.16
"Peru",42.8,78.5,42.8065553842375,100.236846923828,6.53,15.92708969,7.179999828,54.0914,5.662,81.04
"Philippines",44.4,47.684,4.00252116995127,112.250930786133,6.56,14.23373985,2.519999981,55.9696,5.979,62.3
"Portugal",33.8,66.849,2.00764618663799,106.962631225586,7.9,10.81206036,6.789999962,7.2436,12,75.77
"Qatar",41.1,99.278,2.54574439613324,102.576522827148,3.24,9.319160461,0.214000002,8.9248,1.294,87.67
"Romania",36,54.329,2.00820906359327,89.1720428466797,6.4,10.46096039,5.03000021,34.183,15.4,68.75
"Rwanda",43.7,17.568,22.4094104292018,139.624359130859,3.1,10.78352451,1.485000014,38.328,5.047,84.08
"Saudi Arabia",45.9,84.508,1.42046701416935,110.393020629883,2.08,19.05945206,7.449999809,6.643,3.545,57.95
"Senegal",40.3,48.6,6.69316539977657,84.9339828491211,5.67,22.06278038,3.622999907,66.698,5.481,47.14
"Sierra Leone",35.7,43.372,0.52250323873849,116.099128723145,4.86,34.24419022,5.195000172,105.0286,11.296,58.8
"Slovenia",24.2,55.427,4.06286659046935,99.9498291015625,7.54,11.33996964,4.96999979,3.4052,11.4,75.13
"South Africa",63,67.847,22.069403504453,105.570388793945,7.05,19.52728081,29.21999931,67.7304,9.375,60.13
"Spain",34.7,81.056,3.12394579217233,106.363990783691,8.12,10.0303297,15.52999973,7.0212,10.4,74.17
"Sri Lanka",39.8,18.86,0.597589673351454,101.661468505859,6.14,9.899999619,5.877999783,20.2192,6.851,57.52
"Sweden",28.8,88.238,3.99595434992421,122.937446594238,9.26,15.66701984,8.289999962,5.2158,9.5,83.13
"Tajikistan",34,27.726,51.5458244203429,97.6087875366211,1.94,17.77205086,7.583000183,58.2598,4.694,41.47
"Tanzania",40.5,35.954,7.39038816130408,84.6794662475586,5.1,20.50494003,2.528000116,114.008,6.122,84.52
"Thailand",36.4,52.163,1.19789494768318,100.650863647461,6.04,12.06492233,1.100000024,44.2504,7.917,74.17
"Togo",43.1,43.358,14.8244197612232,128.044006347656,2.8,21.76909065,3.944999933,87.8814,8.199,58.49
"Tunisia",32.8,69.888,1.62468650036307,114.55493927002,6.59,22.66534042,16.59199905,7.868,6.258,51.53
"Uganda",42.8,25.553,0.459348713405027,102.648399353027,4.94,11.25,2.767999887,110.5422,6.242,70.94
"United Arab Emirates",32.5,87.299,4.88854854395622,111.542762756348,2.7,11.70623016,3.187999964,4.5684,1.582,82.76
"United Kingdom",34.8,84.152,3.30367400940286,101.925270080566,8.54,13.34407997,4.472000122,11.183,10.4,78.01
"United States",41.1,82.873,2.60130444554912,100.299911499023,7.92,13.14618015,8.050000191,15.9486,10.3,73.11
"Uruguay",39.7,95.603,0.312914284574473,111.040481567383,8.61,16.36347961,10.35000038,57.2618,9.477,75.28
"Vietnam",35.7,38.052,0.824603887403562,109.886993408203,2.94,14.4071703,2.390000105,25.5974,6.444,83.09
"Zambia",57.1,45.192,72.0078801531596,101.460479736328,4.86,12.37802029,12.84799957,114.6904,6.216,75.13
"Zimbabwe",44.3,32.303,31.1529142671985,103.833992004395,3.16,19.0398407,5.350999832,77.4758,7.692,83.98
